Respondent_ID,Used_BNPL,Purchase_Influenced_By_BNPL,Age_Group,Income_Level,Gender,Size_Upgrade_Due_To_BNPL
455,Yes,Would Skip,25–34,<30k,Female,Not Applicable
456,No,Would Delay,25–34,30k–60k,Other,No
457,Yes,Would Purchase Anyway,35–44,<30k,Female,Yes
458,Yes,Would Purchase Anyway,45+,30k–60k,Other,No
459,Yes,Would Purchase Anyway,25–34,<30k,Female,Yes
460,Yes,Would Purchase Anyway,25–34,30k–60k,Male,Not Applicable
461,Yes,Would Purchase Anyway,25–34,30k–60k,Female,Yes
462,Yes,Would Delay,25–34,30k–60k,Female,Not Applicable
463,Yes,Would Delay,45+,60k–100k,Female,Yes
464,Yes,Would Skip,18–24,<30k,Female,Not Applicable
465,No,Would Purchase Anyway,25–34,<30k,Male,Yes
466,No,Would Delay,18–24,60k–100k,Female,Yes
467,No,Would Delay,18–24,30k–60k,Male,Yes
468,Yes,Would Delay,35–44,<30k,Female,Not Applicable
469,Yes,Would Purchase Anyway,35–44,100k+,Female,Not Applicable
470,Yes,Would Purchase Anyway,18–24,60k–100k,Male,No
471,Yes,Would Skip,45+,60k–100k,Female,Yes
472,Yes,Would Purchase Anyway,25–34,<30k,Female,Not Applicable
473,No,Would Purchase Anyway,35–44,60k–100k,Female,No
474,Yes,Would Delay,18–24,30k–60k,Male,Yes
475,No,Would Purchase Anyway,35–44,30k–60k,Female,Not Applicable
476,Yes,Would Purchase Anyway,18–24,30k–60k,Female,Yes
477,No,Would Skip,35–44,30k–60k,Male,No
478,No,Would Purchase Anyway,18–24,<30k,Female,Not Applicable
479,No,Would Delay,35–44,30k–60k,Female,Not Applicable
480,Yes,Would Delay,18–24,<30k,Female,Not Applicable
481,No,Would Delay,18–24,30k–60k,Male,Not Applicable
482,Yes,Would Skip,25–34,60k–100k,Female,Not Applicable
483,Yes,Would Delay,18–24,<30k,Male,Yes
484,Yes,Would Skip,35–44,30k–60k,Female,Yes
485,Yes,Would Skip,25–34,100k+,Female,Yes
486,No,Would Skip,45+,<30k,Male,Yes
487,No,Would Purchase Anyway,25–34,100k+,Other,Yes
488,Yes,Would Purchase Anyway,25–34,100k+,Female,No
489,No,Would Skip,18–24,30k–60k,Male,Not Applicable
490,No,Would Purchase Anyway,45+,<30k,Female,Not Applicable
491,Yes,Would Delay,35–44,<30k,Male,Yes
492,No,Would Delay,25–34,<30k,Female,Yes
493,Yes,Would Purchase Anyway,18–24,100k+,Male,No
494,Yes,Would Skip,25–34,30k–60k,Female,Yes
495,Yes,Would Skip,35–44,100k+,Female,No
496,Yes,Would Delay,35–44,100k+,Female,No
497,No,Would Purchase Anyway,35–44,<30k,Male,Yes
498,No,Would Purchase Anyway,18–24,30k–60k,Female,Yes
499,Yes,Would Delay,35–44,30k–60k,Female,Yes
500,No,Would Delay,25–34,30k–60k,Other,Yes
501,Yes,Would Purchase Anyway,25–34,30k–60k,Male,Not Applicable
502,No,Would Purchase Anyway,18–24,30k–60k,Male,Not Applicable
503,Yes,Would Purchase Anyway,18–24,60k–100k,Female,Yes
504,Yes,Would Delay,35–44,60k–100k,Female,No
505,No,Would Purchase Anyway,25–34,30k–60k,Male,Yes
506,Yes,Would Purchase Anyway,25–34,<30k,Female,Not Applicable
507,Yes,Would Delay,35–44,<30k,Female,No
508,Yes,Would Delay,35–44,60k–100k,Female,Yes
509,Yes,Would Skip,35–44,<30k,Female,Not Applicable
510,No,Would Skip,18–24,60k–100k,Female,Not Applicable
511,No,Would Delay,25–34,60k–100k,Female,No
512,No,Would Purchase Anyway,25–34,100k+,Male,Not Applicable
513,Yes,Would Purchase Anyway,18–24,60k–100k,Female,Not Applicable
514,Yes,Would Delay,25–34,60k–100k,Male,Yes
515,Yes,Would Purchase Anyway,45+,30k–60k,Female,Not Applicable
516,No,Would Delay,25–34,100k+,Male,No
517,Yes,Would Purchase Anyway,25–34,<30k,Female,Yes
518,No,Would Delay,18–24,60k–100k,Female,Not Applicable
519,Yes,Would Skip,25–34,30k–60k,Female,Not Applicable
520,Yes,Would Purchase Anyway,18–24,100k+,Male,Yes
521,Yes,Would Delay,25–34,<30k,Female,No
522,Yes,Would Purchase Anyway,45+,60k–100k,Male,Yes
523,Yes,Would Purchase Anyway,18–24,60k–100k,Female,Not Applicable
524,Yes,Would Purchase Anyway,18–24,100k+,Female,Not Applicable
525,Yes,Would Delay,25–34,30k–60k,Male,Yes
526,Yes,Would Purchase Anyway,18–24,<30k,Female,Not Applicable
527,No,Would Purchase Anyway,35–44,30k–60k,Male,Not Applicable
528,No,Would Purchase Anyway,25–34,100k+,Female,Yes
529,No,Would Purchase Anyway,25–34,<30k,Male,No
530,Yes,Would Purchase Anyway,25–34,60k–100k,Female,No
531,Yes,Would Purchase Anyway,25–34,30k–60k,Male,No
532,No,Would Delay,25–34,<30k,Male,Not Applicable
533,No,Would Purchase Anyway,18–24,30k–60k,Male,Not Applicable
534,No,Would Skip,25–34,60k–100k,Female,No
535,No,Would Delay,45+,100k+,Female,Not Applicable
536,No,Would Skip,35–44,30k–60k,Female,Yes
537,Yes,Would Delay,35–44,30k–60k,Female,Not Applicable
538,Yes,Would Skip,18–24,60k–100k,Male,Yes
539,Yes,Would Purchase Anyway,45+,30k–60k,Male,No
540,Yes,Would Purchase Anyway,25–34,<30k,Female,Yes
541,Yes,Would Purchase Anyway,25–34,60k–100k,Female,Yes
542,No,Would Purchase Anyway,35–44,<30k,Other,Yes
543,No,Would Delay,45+,<30k,Male,Not Applicable
544,No,Would Delay,25–34,30k–60k,Female,No
545,Yes,Would Delay,18–24,60k–100k,Female,No
546,No,Would Skip,25–34,60k–100k,Male,No
547,Yes,Would Delay,25–34,<30k,Male,Yes
548,Yes,Would Purchase Anyway,25–34,<30k,Male,Not Applicable
549,Yes,Would Delay,35–44,30k–60k,Female,No
550,Yes,Would Delay,25–34,30k–60k,Female,No
551,Yes,Would Purchase Anyway,25–34,100k+,Male,No
552,No,Would Purchase Anyway,25–34,30k–60k,Female,No
553,Yes,Would Purchase Anyway,18–24,30k–60k,Male,Yes
554,No,Would Delay,25–34,60k–100k,Female,Not Applicable
555,Yes,Would Purchase Anyway,25–34,30k–60k,Male,Yes
556,No,Would Purchase Anyway,35–44,<30k,Female,Yes
557,Yes,Would Purchase Anyway,35–44,60k–100k,Female,Not Applicable
558,No,Would Skip,18–24,60k–100k,Female,Not Applicable
559,Yes,Would Delay,25–34,<30k,Male,No
560,No,Would Skip,25–34,60k–100k,Female,Not Applicable
561,No,Would Purchase Anyway,35–44,30k–60k,Female,Yes
562,Yes,Would Delay,25–34,60k–100k,Female,Yes
563,No,Would Delay,18–24,<30k,Male,Not Applicable
564,Yes,Would Purchase Anyway,18–24,60k–100k,Male,Not Applicable
565,Yes,Would Purchase Anyway,25–34,<30k,Female,No
566,Yes,Would Purchase Anyway,25–34,<30k,Female,Yes
567,Yes,Would Purchase Anyway,25–34,100k+,Female,Not Applicable
568,Yes,Would Skip,25–34,30k–60k,Female,No
569,Yes,Would Skip,25–34,30k–60k,Male,Yes
570,No,Would Delay,25–34,60k–100k,Female,No
571,No,Would Purchase Anyway,25–34,60k–100k,Male,Yes
572,No,Would Purchase Anyway,35–44,<30k,Female,No
573,Yes,Would Skip,25–34,30k–60k,Female,No
574,Yes,Would Purchase Anyway,25–34,30k–60k,Male,Yes
575,Yes,Would Purchase Anyway,18–24,<30k,Male,No
576,Yes,Would Delay,35–44,<30k,Male,No
577,Yes,Would Purchase Anyway,35–44,60k–100k,Female,Not Applicable
578,No,Would Purchase Anyway,18–24,100k+,Female,Not Applicable
579,Yes,Would Delay,18–24,30k–60k,Male,Not Applicable
580,Yes,Would Purchase Anyway,35–44,100k+,Male,No
581,No,Would Purchase Anyway,35–44,100k+,Female,Yes
582,Yes,Would Purchase Anyway,25–34,30k–60k,Male,Not Applicable
583,Yes,Would Skip,25–34,30k–60k,Other,No
584,Yes,Would Delay,25–34,60k–100k,Female,Not Applicable
585,Yes,Would Delay,18–24,30k–60k,Female,Not Applicable
586,No,Would Purchase Anyway,18–24,<30k,Female,Yes
587,Yes,Would Purchase Anyway,45+,100k+,Male,Not Applicable
588,Yes,Would Delay,35–44,60k–100k,Female,No
589,Yes,Would Purchase Anyway,25–34,100k+,Female,Yes
590,Yes,Would Skip,25–34,60k–100k,Male,Yes
591,No,Would Purchase Anyway,18–24,<30k,Female,Not Applicable
592,Yes,Would Purchase Anyway,35–44,30k–60k,Other,Yes
593,Yes,Would Delay,25–34,<30k,Female,No
594,No,Would Purchase Anyway,45+,60k–100k,Male,Yes
595,No,Would Purchase Anyway,25–34,<30k,Other,Yes
596,Yes,Would Delay,25–34,60k–100k,Other,No
597,Yes,Would Delay,35–44,30k–60k,Female,Not Applicable
598,No,Would Purchase Anyway,25–34,60k–100k,Male,Not Applicable
599,Yes,Would Purchase Anyway,45+,60k–100k,Female,Yes
600,No,Would Purchase Anyway,35–44,100k+,Female,Yes
601,No,Would Delay,25–34,30k–60k,Female,Yes
602,Yes,Would Delay,25–34,60k–100k,Male,No
603,Yes,Would Delay,25–34,60k–100k,Female,Not Applicable
604,Yes,Would Purchase Anyway,25–34,30k–60k,Male,Not Applicable
605,Yes,Would Purchase Anyway,35–44,<30k,Male,Yes
606,No,Would Purchase Anyway,45+,60k–100k,Female,Yes
607,Yes,Would Purchase Anyway,25–34,<30k,Female,Not Applicable
608,Yes,Would Delay,25–34,<30k,Other,Not Applicable
609,Yes,Would Delay,25–34,30k–60k,Female,No
610,Yes,Would Delay,18–24,60k–100k,Female,Not Applicable
611,Yes,Would Skip,45+,100k+,Female,Yes
612,Yes,Would Purchase Anyway,35–44,60k–100k,Other,Not Applicable
613,Yes,Would Delay,25–34,60k–100k,Male,Yes
614,Yes,Would Delay,25–34,30k–60k,Male,Not Applicable
615,Yes,Would Purchase Anyway,25–34,60k–100k,Female,Yes
616,No,Would Delay,45+,60k–100k,Male,Not Applicable
617,No,Would Purchase Anyway,25–34,<30k,Male,Yes
618,No,Would Purchase Anyway,25–34,60k–100k,Female,Yes
619,Yes,Would Purchase Anyway,25–34,60k–100k,Female,Yes
620,Yes,Would Purchase Anyway,25–34,<30k,Female,Not Applicable
621,No,Would Purchase Anyway,25–34,<30k,Male,No
622,No,Would Delay,35–44,30k–60k,Male,No
623,Yes,Would Purchase Anyway,35–44,<30k,Male,Not Applicable
624,Yes,Would Purchase Anyway,18–24,60k–100k,Male,Not Applicable
625,No,Would Skip,25–34,100k+,Female,Yes
626,Yes,Would Purchase Anyway,45+,60k–100k,Male,No
627,Yes,Would Skip,35–44,60k–100k,Male,Not Applicable
628,No,Would Purchase Anyway,18–24,<30k,Female,Yes
629,No,Would Purchase Anyway,25–34,100k+,Female,No
630,Yes,Would Purchase Anyway,25–34,<30k,Male,Not Applicable
631,No,Would Purchase Anyway,18–24,60k–100k,Female,Yes
632,Yes,Would Purchase Anyway,18–24,<30k,Female,Not Applicable
633,Yes,Would Purchase Anyway,35–44,60k–100k,Male,Not Applicable
634,Yes,Would Delay,25–34,60k–100k,Female,No
635,Yes,Would Purchase Anyway,18–24,30k–60k,Female,Not Applicable
636,No,Would Delay,25–34,<30k,Female,Not Applicable
637,No,Would Delay,45+,30k–60k,Female,Not Applicable
638,No,Would Purchase Anyway,18–24,100k+,Male,Not Applicable
639,Yes,Would Delay,25–34,100k+,Female,Not Applicable
640,Yes,Would Delay,35–44,<30k,Male,Yes
641,Yes,Would Delay,25–34,<30k,Female,No
642,Yes,Would Delay,35–44,100k+,Female,Yes
643,Yes,Would Delay,35–44,100k+,Male,Not Applicable
644,No,Would Delay,25–34,<30k,Male,Not Applicable
645,No,Would Purchase Anyway,45+,100k+,Female,Not Applicable
646,No,Would Skip,35–44,30k–60k,Female,No
647,No,Would Delay,18–24,30k–60k,Male,Not Applicable
648,Yes,Would Purchase Anyway,35–44,60k–100k,Female,Not Applicable
649,Yes,Would Delay,18–24,30k–60k,Male,Yes
650,Yes,Would Purchase Anyway,18–24,<30k,Female,Not Applicable
651,No,Would Purchase Anyway,25–34,<30k,Male,No
652,Yes,Would Purchase Anyway,25–34,<30k,Female,Yes
653,Yes,Would Purchase Anyway,35–44,<30k,Female,No
654,Yes,Would Delay,18–24,30k–60k,Male,Not Applicable
655,Yes,Would Purchase Anyway,25–34,<30k,Other,Yes
656,Yes,Would Skip,18–24,60k–100k,Female,No
657,Yes,Would Skip,25–34,60k–100k,Female,Yes
658,No,Would Purchase Anyway,25–34,<30k,Male,Not Applicable
659,Yes,Would Delay,25–34,60k–100k,Female,No
660,No,Would Purchase Anyway,18–24,100k+,Male,Not Applicable
661,Yes,Would Purchase Anyway,18–24,60k–100k,Male,Not Applicable
662,No,Would Delay,45+,<30k,Male,Yes
663,No,Would Delay,18–24,60k–100k,Female,Yes
664,Yes,Would Purchase Anyway,25–34,<30k,Female,Yes
665,No,Would Skip,18–24,30k–60k,Female,Not Applicable
666,Yes,Would Purchase Anyway,25–34,100k+,Female,Not Applicable
667,No,Would Purchase Anyway,25–34,30k–60k,Female,Yes
668,Yes,Would Delay,25–34,30k–60k,Male,Not Applicable
669,Yes,Would Delay,18–24,30k–60k,Male,Not Applicable
670,Yes,Would Delay,25–34,30k–60k,Female,Yes
671,Yes,Would Purchase Anyway,35–44,60k–100k,Female,Not Applicable
672,No,Would Delay,18–24,60k–100k,Female,Yes
673,No,Would Purchase Anyway,25–34,30k–60k,Male,No
674,Yes,Would Delay,35–44,60k–100k,Female,No
675,Yes,Would Purchase Anyway,25–34,100k+,Male,No
676,Yes,Would Delay,35–44,100k+,Female,No
677,Yes,Would Delay,25–34,100k+,Male,No
678,Yes,Would Delay,35–44,30k–60k,Male,Not Applicable
679,Yes,Would Purchase Anyway,25–34,<30k,Female,No
680,No,Would Delay,18–24,<30k,Male,No
681,Yes,Would Delay,45+,30k–60k,Male,Not Applicable
682,No,Would Delay,35–44,30k–60k,Female,No
683,No,Would Purchase Anyway,25–34,30k–60k,Female,Yes
684,Yes,Would Delay,45+,<30k,Female,Yes
685,Yes,Would Purchase Anyway,25–34,100k+,Female,No
686,Yes,Would Purchase Anyway,25–34,<30k,Female,Not Applicable
687,Yes,Would Delay,18–24,60k–100k,Female,Not Applicable
688,No,Would Purchase Anyway,18–24,30k–60k,Female,Yes
689,Yes,Would Delay,18–24,<30k,Male,Not Applicable
690,Yes,Would Purchase Anyway,25–34,60k–100k,Male,Not Applicable
691,Yes,Would Delay,25–34,60k–100k,Female,Not Applicable
692,Yes,Would Delay,35–44,<30k,Male,Not Applicable
693,Yes,Would Delay,35–44,100k+,Male,Not Applicable
694,Yes,Would Skip,18–24,60k–100k,Female,Not Applicable
695,Yes,Would Purchase Anyway,25–34,<30k,Female,Yes
696,Yes,Would Purchase Anyway,25–34,30k–60k,Male,Yes
697,Yes,Would Delay,25–34,60k–100k,Male,Yes
698,Yes,Would Purchase Anyway,25–34,<30k,Male,Not Applicable
699,Yes,Would Delay,25–34,30k–60k,Male,No
700,Yes,Would Purchase Anyway,25–34,60k–100k,Female,Not Applicable
701,No,Would Purchase Anyway,35–44,60k–100k,Female,Not Applicable
702,Yes,Would Skip,25–34,<30k,Male,Not Applicable
703,Yes,Would Delay,35–44,30k–60k,Female,Not Applicable
